lat,lng
38.840737,-107.89295
38.838811,-107.896365
38.836198,-107.90202
38.835808,-107.899026
38.835792,-107.899
38.834527,-107.901822
38.833554,-107.897721
38.833719,-107.894803
38.83201,-107.893285
38.83201,-107.893285
38.830399,-107.893063
38.837269,-107.894846
38.83727,-107.894824
38.817969,-107.784942
38.816601,-107.786067
38.811287,-107.774029
38.808114,-107.782903
38.809885,-107.771978
38.834478,-107.905892
38.828057,-107.894612
38.842182,-107.889215
38.822454,-107.795673
38.796464,-107.785898
38.808502,-107.767706
38.816743,-107.782709
38.81633,-107.793882
38.817676,-107.790742
38.825208,-107.780718
38.821862,-107.779167
38.836657,-107.779822
38.813651,-107.78152
38.812738,-107.78004
38.812681,-107.778369
38.8116,-107.776983
38.811616,-107.77828
38.811607,-107.780422
38.809805,-107.7676
38.819062,-107.781481
38.809749,-107.769018
38.808574,-107.769947
38.811359,-107.767887
38.814443,-107.768203
38.819133,-107.779528
38.819289,-107.799494
38.820134,-107.796215
38.807784,-107.773864
38.806159,-107.784878
38.81897,-107.776992
38.798205,-107.784534
38.800351,-107.784594
38.80858,-107.772137
39.11117,-108.320485
39.111867,-108.332144
39.106049,-108.325282
39.098223,-108.34352
39.099882,-108.328834
39.092243,-108.409132
39.115519,-108.362646
39.112457,-108.366633
39.111441,-108.371302
39.108886,-108.370643
39.086368,-108.382533
39.067586,-108.410743
39.084431,-108.389822
39.056477,-108.413951
39.054035,-108.433398
39.049423,-108.434455
39.100179,-108.393327
39.10816,-108.403893
39.10089,-108.395738
39.083108,-108.420295
39.0765,-108.399263
39.075995,-108.399645
39.078289,-108.399302
39.079159,-108.399017
39.058604,-108.435455
39.059442,-108.433294
39.059508,-108.440198
39.056645,-108.440651
39.055888,-108.43804
39.056013,-108.435234
39.056889,-108.431767
39.053055,-108.436484
39.111079,-108.33868
39.08863,-108.376853
39.09276,-108.343033
39.095995,-108.35712
39.073931,-108.410991
39.096057,-108.364281
39.073759,-108.415174
38.865296,-107.604203
38.873895,-107.620533
38.858145,-107.605015
38.859825,-107.610774
38.823658,-107.783712
38.826128,-107.785341
38.879585,-107.601073
38.87972,-107.599473
38.882295,-107.599914
38.882275,-107.601077
38.881432,-107.600049